Year,Month,Day,Hour,Minute,Second,HYY_META.SO2168
,,,,,,Sulphur dioxide concentration in dry air at 16.8 m height Events: NewVersionRelease Processing and quality check of gas data Petri Keronen 2017-01-01 00:00:00.0 2017-08-31 23:59:59.0 Events: NewVersionRelease Processing and quality check of gas data Petri Keronen 2017-01-01 00:00:00.0 2017-12-31 23:59:59.0
,,,,,,TEI 43 CTL fluorescence analyzer
,,,,,,ppb
