Year,Month,Day,Hour,Minute,Second,HYY_DMPS.tconc
2017,6,2,1,30,0,1848.76
2017,6,2,1,40,0,1961.12
2017,6,2,1,50,0,1845.44
2017,6,2,2,0,0,1706.12
2017,6,2,2,10,0,1679.84
2017,6,2,2,20,0,1674.9
2017,6,2,2,30,0,1537.24
2017,6,2,2,40,0,1612.03
2017,6,2,2,50,0,1696.97
2017,6,2,3,0,0,1707.9
2017,6,2,3,10,0,1683.94
2017,6,2,3,20,0,1734.38
2017,6,2,3,30,0,1683.68
2017,6,2,3,40,0,1607.62
2017,6,2,3,50,0,1558.48
2017,6,2,4,0,0,1564.48
2017,6,2,4,10,0,1638.89
2017,6,2,4,20,0,1581.2
2017,6,2,4,30,0,1584.46
2017,6,2,4,40,0,1434.98
2017,6,2,4,50,0,1514.88
2017,6,2,5,0,0,1559.97
2017,6,2,5,10,0,1468.64
2017,6,2,5,20,0,1377.87
2017,6,2,5,30,0,1335.11
2017,6,2,5,40,0,1248.76
2017,6,2,5,50,0,1136.02
2017,6,2,6,0,0,1032.96
2017,6,2,6,10,0,963.753
2017,6,2,6,20,0,610.678
2017,6,2,6,30,0,638.174
2017,6,2,6,40,0,533.363
2017,6,2,6,50,0,572.911
2017,6,2,7,0,0,571.818
2017,6,2,7,10,0,581.248
2017,6,2,7,20,0,592.855
2017,6,2,7,30,0,576.222
2017,6,2,7,40,0,563.308
2017,6,2,7,50,0,560.361
2017,6,2,8,0,0,590.433
2017,6,2,8,10,0,619.067
2017,6,2,8,20,0,551.385
2017,6,2,8,30,0,540.847
2017,6,2,8,40,0,596.022
2017,6,2,8,50,0,596.526
2017,6,2,9,0,0,574.944
2017,6,2,9,10,0,535.764
2017,6,2,9,20,0,573.892
2017,6,2,9,30,0,589.392
2017,6,2,9,40,0,606.169
2017,6,2,9,50,0,557.015
2017,6,2,10,0,0,479.082
2017,6,2,10,10,0,557.646
2017,6,2,10,20,0,521.717
2017,6,2,10,30,0,512.577
2017,6,2,10,40,0,500.139
2017,6,2,10,50,0,519.043
2017,6,2,11,0,0,475.526
2017,6,2,11,10,0,455.337
2017,6,2,11,20,0,754.33
2017,6,2,11,30,0,449.631
2017,6,2,11,40,0,481.393
2017,6,2,11,50,0,431.489
2017,6,2,12,0,0,463.253
2017,6,2,12,10,0,476.855
2017,6,2,12,20,0,464.728
2017,6,2,12,30,0,531.88
2017,6,2,12,40,0,507.341
2017,6,2,12,50,0,495.886
2017,6,2,13,0,0,501.93
2017,6,2,13,10,0,491.369
2017,6,2,13,20,0,526.379
2017,6,2,13,30,0,513.178
2017,6,2,13,40,0,530.43
2017,6,2,13,50,0,524.135
2017,6,2,14,0,0,500.999
2017,6,2,14,10,0,574.519
2017,6,2,14,20,0,587.916
2017,6,2,14,30,0,585.213
2017,6,2,14,40,0,550.936
2017,6,2,14,50,0,624.49
2017,6,2,15,0,0,742.768
2017,6,2,15,10,0,622.339
2017,6,2,15,20,0,645.44
2017,6,2,15,30,0,722.957
2017,6,2,15,40,0,702.372
2017,6,2,15,50,0,794.375
2017,6,2,16,0,0,1011.15
2017,6,2,16,10,0,1305.25
2017,6,2,16,20,0,1761.87
2017,6,2,16,30,0,2090.01
2017,6,2,16,40,0,2429.16
2017,6,2,16,50,0,3255.03
2017,6,2,17,0,0,3182.9
2017,6,2,17,10,0,3370.73
2017,6,2,17,20,0,2997.89
2017,6,2,17,30,0,2734.12
2017,6,2,17,40,0,2506.64
2017,6,2,17,50,0,2340.68
2017,6,2,18,0,0,2739.69
2017,6,2,18,10,0,2332.02
2017,6,2,18,20,0,2158.12
2017,6,2,18,30,0,1675.7
2017,6,2,18,40,0,1338.07
2017,6,2,18,50,0,1270.87
2017,6,2,19,0,0,998.282
2017,6,2,19,10,0,869.765
2017,6,2,19,20,0,942.778
2017,6,2,19,30,0,1114.37
2017,6,2,19,40,0,1315.65
2017,6,2,19,50,0,1178.32
2017,6,2,20,0,0,1014.62
2017,6,2,20,10,0,907.471
2017,6,2,20,20,0,780.105
2017,6,2,20,30,0,881.329
2017,6,2,20,40,0,1007.06
2017,6,2,20,50,0,1119.25
2017,6,2,21,0,0,1192.85
2017,6,2,21,10,0,1204.7
2017,6,2,21,20,0,1143.87
2017,6,2,21,30,0,1035.03
2017,6,2,21,40,0,1212.58
2017,6,2,21,50,0,1113.53
2017,6,2,22,0,0,1105.19
